001244,PRIVATE LABEL,BANCO BRADESCO,Unnamed: 3,Unnamed: 4,BRAZIL,BR,BRA,76,Unnamed: 9,Unnamed: 10,19,Unnamed: 12,N
4078,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,,16,PERSONAL,N
4080,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,,16,PERSONAL,N
26688,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,,16,PERSONAL,N
100100,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100101,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100102,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100103,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100104,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100105,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100106,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100107,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100108,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100109,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100110,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100111,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100112,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100113,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100114,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100115,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100116,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100117,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100118,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
100119,UATP,AMERICAN AIRLINES (AA),CREDIT,UATP,UNITED STATES,US,USA,840,HTTPS://WWW.AA.COM/,800-433-7300,15,COMMERCIAL,N
