001244,PRIVATE LABEL,BANCO BRADESCO,Unnamed: 3,Unnamed: 4,BRAZIL,BR,BRA,76,Unnamed: 9,Unnamed: 10,19,Unnamed: 12,N
2102,PRIVATE LABEL,CHINA MERCHANTS BANK,CREDIT,STANDARD,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555,19.0,PERSONAL,N
2195,PRIVATE LABEL,CHINA MERCHANTS BANK,DEBIT,,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555,19.0,,N
2201,PRIVATE LABEL,CHINA MERCHANTS BANK,DEBIT,,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555,19.0,,N
2239,PRIVATE LABEL,CHINA MERCHANTS BANK,DEBIT,,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555,19.0,,N
2361,PRIVATE LABEL,CHINA MERCHANTS BANK,CREDIT,STANDARD,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555,19.0,PERSONAL,N
4078,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,,16.0,PERSONAL,N
4080,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,,16.0,PERSONAL,N
7343,PRIVATE LABEL,BANCO PAN,DEBIT,,BRAZIL,BR,BRA,76,,(17) 3211-9961,19.0,,N
10051,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
10053,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
10108,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
10150,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
10258,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
10300,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
10309,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
11300,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11301,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11302,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11303,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11304,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11305,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11306,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11308,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
11309,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,,19.0,PERSONAL,N
12004,PRIVATE LABEL,TBI BANK,DEBIT,,BULGARIA,BG,BGR,100,,,19.0,,N
12047,PRIVATE LABEL,BANCO DE CREDITO ARGENTINO,DEBIT,,ARGENTINA,AR,ARG,32,,,19.0,,N
20010,PRIVATE LABEL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,DEBIT,,CHINA,CN,CHN,156,HTTP://WWW.ICBC.COM.CN/ICBC/,400-66-95588,19.0,,N
20083,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
20084,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
20085,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
20089,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,,16.0,,N
20202,PRIVATE LABEL,CHINA CONSTRUCTION BANK,,INTERNET BANKING CODE CARD,CHINA,CN,CHN,156,HTTP://WWW.ASIA.CCB.COM,(852) 277 95533 OR (852) 317 95533,19.0,PERSONAL,N
